saitama_key,old_hamamatsu_key,hamamatsu_key,fukuoka_key,tadami_key,iide_key,ishikawa_key,noto_key,nishi_awa_key,minabe_tanabe_key
1110901021,2213401001,2213401007,4013401004,744501005,740203008,1720620007,1720206002,3620704014,3039104006
1110901019,2213401007,2213401008,4013501014,744502001,740202006,1720620008,1720206003,3620704015,3039101003
1110901026,2213401008,2213401002,4013501015,744503002,740203001,1721023004,1720206004,3620704016,3039101001
1110901023,2213401002,2213401006,4013501020,744503005,740203002,1721023009,1720206005,3620704017,3039101002
1110901015,2213401006,2213401005,4013501019,744503006,740203003,1721025001,1720206006,3620704018,3039102004
1110901022,2213401004,2213102001,4013501022,744504009,740203004,1721026005,1720206007,3620704019,3039104002
1120301026,2213401005,2213302001,4013501021,744504010,740203005,1721026006,1720206008,3620704021,3039102001
1120301053,2213102001,2213403002,4013501023,744504011,740203006,1721025006,1720210004,3620705007,3039102002
1120301042,2213302001,2213403003,4013501024,,740203007,1721025906,1720210005,3620705008,3039104011
1120301059,2213403002,2213403011,4013601004,,740203009,1721026001,1720208001,3620705001,3039104012
1120301044,2213403007,2213403004,4013601005,,740203010,1721026002,1720208002,3620705002,3039104999
1120301049,2213403003,2213403006,4013601007,,740510018,1721026003,1720211003,3620705003,3039102003
1120301055,2213403011,2213403005,4013601006,,740510019,1721026004,1720208003,3620705004,3039102005
1120301043,2213403004,2213403012,4013601011,,740700008,1721026007,1720209003,3620705005,3039102008
1120301051,2213403009,2213403014,4013601008,,740700019,1621007014,1720209001,3620705006,3039103001
1120301061,2213403006,2213403010,4013601010,,740700021,1620147002,1720210003,3620705009,3039103002
1120301066,2213403005,2213403013,4013601009,,740801014,1620147008,1720210007,3620705010,3039103003
1120301040,2213403012,2213403001,4013601012,,740801015,1620147009,1720211002,3620705011,3039103004
1120301039,2213403014,2213104001,4013601013,,740801016,1620147001,1720211004,3620705012,3039103005
1120301045,2213403010,2213406002,4013601014,,740802005,1620147003,1720211005,3620705999,3039103006
1120301041,2213403008,2213406006,4013601001,,740801020,1620147004,1720211006,3620706001,3039103007
